127.0.0.1 - - [23/Dec/2019:14:13:27 +0000] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:13:28 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:13:50 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:13:50 +0000] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:14:14 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:14:15 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:14:45 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:15:07 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:15:13 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:15:26 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:16:10 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [23/Dec/2019:14:17:05 +0000] "GET /SneakerWebApp/GetSneakerServlet HTTP/1.1" 200 975
